Fecha,Sin indexar,Indexadas,Impresiones
2026-06-18,,,0
2026-06-19,,,0
2026-06-20,,,7
2026-06-21,,,12
2026-06-22,,,18
2026-06-23,,,38
2026-06-24,,,26
2026-06-25,,,17
2026-06-26,,,29
2026-06-27,,,28
2026-06-28,,,25
2026-06-29,49,20,45
2026-06-30,65,21,40
2026-07-01,65,21,20
2026-07-02,65,21,25
2026-07-03,65,21,33
2026-07-04,65,21,26
2026-07-05,65,21,41
2026-07-06,65,21,41
2026-07-07,65,21,31
2026-07-08,65,21,23
2026-07-09,65,21,30
2026-07-10,71,34,51
2026-07-11,71,34,44
2026-07-12,71,34,32
2026-07-13,71,34,39
2026-07-14,71,34,42
2026-07-15,71,34,22
2026-07-16,71,34,22
2026-07-17,71,34,22
2026-07-18,71,34,52
2026-07-19,71,34,23
2026-07-20,71,34,23
2026-07-21,71,34,42
2026-07-22,71,34,18
2026-07-23,71,34,25
2026-07-24,70,43,38
2026-07-25,70,43,49
2026-07-26,70,43,58
2026-07-27,70,43,53
2026-07-28,70,43,60
2026-07-29,70,43,64
2026-07-30,70,43,55
2026-07-31,70,43,75
2026-08-01,70,43,73
2026-08-02,70,43,78
2026-08-03,70,43,69
2026-08-04,70,43,73
2026-08-05,71,42,64
2026-08-06,71,42,43
2026-08-07,70,43,44
2026-08-08,70,43,54
2026-08-09,70,43,61
2026-08-10,86,106,77
2026-08-11,86,106,85
2026-08-12,86,106,178
2026-08-13,86,106,159
2026-08-14,91,134,236
2026-08-15,91,134,215
2026-08-16,91,134,270
2026-08-17,90,160,303
2026-08-18,90,160,328
2026-08-19,90,160,291
2026-08-20,90,160,315
