País,Clics,Impresiones,CTR,Posición
España,15,1879,0.8%,28.35
Perú,7,435,1.61%,16.77
México,4,1045,0.38%,32.14
Chile,3,335,0.9%,20.8
Cuba,3,95,3.16%,8.97
Argentina,2,317,0.63%,21.6
Suecia,2,272,0.74%,21.46
Costa Rica,2,72,2.78%,20.69
Groenlandia,2,2,100%,2
Venezuela,1,225,0.44%,18.24
Ecuador,1,205,0.49%,18.08
Bolivia,1,132,0.76%,19.36
Uruguay,1,98,1.02%,11.44
El Salvador,1,65,1.54%,15.89
Paraguay,1,51,1.96%,20.86
La India,1,37,2.7%,39.7
Colombia,0,438,0%,22.07
Estados Unidos,0,204,0%,16.46
República Dominicana,0,109,0%,14.9
Guatemala,0,83,0%,15.28
Panamá,0,70,0%,20.56
Italia,0,63,0%,20.48
Nicaragua,0,39,0%,22.64
Honduras,0,27,0%,14.3
Indonesia,0,16,0%,43.31
Reino Unido,0,14,0%,17.14
Brasil,0,14,0%,22.29
Alemania,0,12,0%,16.08
Filipinas,0,11,0%,47.36
Rusia,0,10,0%,39.3
Canadá,0,8,0%,8
Francia,0,8,0%,26.12
Puerto Rico,0,7,0%,9.57
Tailandia,0,7,0%,32.57
Ucrania,0,7,0%,35.29
Egipto,0,6,0%,39.5
Marruecos,0,6,0%,54
Suiza,0,5,0%,5.4
Emiratos Árabes Unidos,0,5,0%,8.2
Hong Kong,0,5,0%,8.6
Países Bajos,0,5,0%,8.8
Vietnam,0,5,0%,41
Sudán del Sur,0,4,0%,1
Bélgica,0,4,0%,12.75
Malasia,0,4,0%,19
Argelia,0,4,0%,34
Turquía,0,4,0%,69.75
Andorra,0,3,0%,6
Israel,0,3,0%,6.33
Corea del Sur,0,3,0%,35.33
Bangladés,0,3,0%,58.67
Irlanda,0,2,0%,5.5
Irán,0,2,0%,6
Polonia,0,2,0%,6
Rumanía,0,2,0%,6
Japón,0,2,0%,6.5
Portugal,0,2,0%,6.5
Austria,0,2,0%,8.5
Australia,0,2,0%,10
Guinea Ecuatorial,0,2,0%,10.5
Dinamarca,0,2,0%,16.5
Arabia Saudí,0,2,0%,25
Mónaco,0,2,0%,43
Grecia,0,2,0%,44.5
Etiopía,0,2,0%,53.5
Singapur,0,1,0%,1
Myanmar (Birmania),0,1,0%,3
Aruba,0,1,0%,6
Armenia,0,1,0%,7
Luxemburgo,0,1,0%,8
Malta,0,1,0%,8
Granada,0,1,0%,9
Noruega,0,1,0%,9
Taiwán,0,1,0%,9
Guyana,0,1,0%,11
Jamaica,0,1,0%,11
Letonia,0,1,0%,11
Madagascar,0,1,0%,11
Croacia,0,1,0%,12
Gabón,0,1,0%,27
República Democrática del Congo,0,1,0%,31
Ghana,0,1,0%,50
Azerbaiyán,0,1,0%,65
Angola,0,1,0%,67
Jordania,0,1,0%,70
Palestina,0,1,0%,72
Curazao,0,1,0%,73
