Fecha,Clics,Impresiones,CTR,Posición
2026-06-19,0,0,,
2026-06-20,0,0,,
2026-06-21,0,7,0%,22
2026-06-22,0,12,0%,32.3
2026-06-23,0,18,0%,19.1
2026-06-24,0,38,0%,26.6
2026-06-25,0,26,0%,35.5
2026-06-26,0,17,0%,32.6
2026-06-27,0,29,0%,25
2026-06-28,0,28,0%,31.8
2026-06-29,0,25,0%,31.8
2026-06-30,0,45,0%,38.5
2026-07-01,0,40,0%,30.8
2026-07-02,0,20,0%,24.1
2026-07-03,0,25,0%,27.2
2026-07-04,0,33,0%,22.4
2026-07-05,0,26,0%,19.5
2026-07-06,0,41,0%,32.1
2026-07-07,0,41,0%,37
2026-07-08,0,31,0%,35.1
2026-07-09,0,23,0%,31.6
2026-07-10,0,30,0%,32.9
2026-07-11,0,51,0%,38.7
2026-07-12,0,44,0%,35.9
2026-07-13,0,32,0%,37.1
2026-07-14,0,39,0%,25.7
2026-07-15,0,42,0%,28.7
2026-07-16,0,22,0%,26
2026-07-17,0,22,0%,25.6
2026-07-18,0,22,0%,40
2026-07-19,0,52,0%,40.4
2026-07-20,0,23,0%,30.1
2026-07-21,0,23,0%,19.5
2026-07-22,0,42,0%,24.5
2026-07-23,1,18,5.56%,17.7
2026-07-24,0,25,0%,28.6
2026-07-25,0,38,0%,21
2026-07-26,0,49,0%,16.9
2026-07-27,0,58,0%,20.5
2026-07-28,0,53,0%,16.6
2026-07-29,1,60,1.67%,16.8
2026-07-30,3,64,4.69%,18.1
2026-07-31,0,55,0%,19.3
2026-08-01,0,75,0%,24.9
2026-08-02,0,73,0%,25.5
2026-08-03,1,78,1.28%,16.3
2026-08-04,0,69,0%,21.9
2026-08-05,1,73,1.37%,22.7
2026-08-06,0,64,0%,18.8
2026-08-07,0,43,0%,19.5
2026-08-08,0,44,0%,16.4
2026-08-09,0,54,0%,18.6
2026-08-10,0,61,0%,18
2026-08-11,4,77,5.19%,20
2026-08-12,0,85,0%,25
2026-08-13,1,178,0.56%,26.8
2026-08-14,1,159,0.63%,21.1
2026-08-15,0,236,0%,25.5
2026-08-16,1,215,0.47%,29.8
2026-08-17,5,270,1.85%,24.6
2026-08-18,3,303,0.99%,28.5
2026-08-19,3,328,0.91%,28.4
2026-08-20,3,291,1.03%,27.3
2026-08-21,4,315,1.27%,25.4
2026-08-22,3,334,0.9%,22.8
2026-08-23,5,376,1.33%,16.4
2026-08-24,3,394,0.76%,18.8
2026-08-25,1,454,0.22%,20
2026-08-26,3,493,0.61%,22.4
